escenario,nombre,a,k_actual,umbral_nombre,B_max,k_optimo,B_optimo,rho,N_prom
liga_regular,Partido de Liga regular,5.0,5,Estricto (99.9%),0.001,14,0.0004718430591899518,0.35697434176457504,4.997640784704051
liga_regular,Partido de Liga regular,5.0,5,Alto (99%),0.01,11,0.008287368467342978,0.45077846887848044,4.958563157663285
liga_regular,Partido de Liga regular,5.0,5,Estándar (95%),0.05,9,0.037457785974193955,0.5347456744587811,4.81271107012903
liga_regular,Partido de Liga regular,5.0,5,Relajado (90%),0.1,8,0.07004785220956705,0.5812200923690206,4.649760738952165
clasico_millonarios,Clásico vs Millonarios,20.0,10,Estricto (99.9%),0.001,35,0.0006859251505146931,0.5710366141997057,19.9862814969897
clasico_millonarios,Clásico vs Millonarios,20.0,10,Alto (99%),0.01,30,0.008457498340194703,0.66102833443987,19.8308500331961
clasico_millonarios,Clásico vs Millonarios,20.0,10,Estándar (95%),0.05,26,0.03719520653062413,0.7406190718995197,19.25609586938751
clasico_millonarios,Clásico vs Millonarios,20.0,10,Relajado (90%),0.1,23,0.08492963013321121,0.7957133651015553,18.301407397335772
final_copa,Final de Copa,50.0,15,Estricto (99.9%),0.001,71,0.0009624025280940489,0.7035476038534547,49.95187987359529
final_copa,Final de Copa,50.0,15,Alto (99%),0.01,64,0.008439426655940717,0.7746566979250461,49.57802866720295
final_copa,Final de Copa,50.0,15,Estándar (95%),0.05,56,0.045792431541135784,0.851971043266843,47.71037842294321
final_copa,Final de Copa,50.0,15,Relajado (90%),0.1,51,0.09316200584459779,0.8890568570151002,45.34189970777011
superclasico,Súper-clásico (Clausura),60.0,20,Estricto (99.9%),0.001,83,0.0008582955382339278,0.7222711116591076,59.94850226770593
superclasico,Súper-clásico (Clausura),60.0,20,Alto (99%),0.01,75,0.008326990518868439,0.793338407584905,59.500380568867875
superclasico,Súper-clásico (Clausura),60.0,20,Estándar (95%),0.05,66,0.04578385707611557,0.8674692208398945,57.25296857543304
superclasico,Súper-clásico (Clausura),60.0,20,Relajado (90%),0.1,60,0.09626681200920569,0.903733187990794,54.223991279447645
